dataset_version,model,cv_f1_mean,val_f1,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc
v3,CatBoost,0.6366496729794843,0.6348733233979136,0.7691579943235572,0.5439024390243903,0.7964285714285714,0.6463768115942029,0.855885732671447
v3,LogisticRegression,0.6471986412677541,0.6311239193083573,0.7530747398297067,0.5220417633410673,0.8035714285714286,0.6329113924050633,0.8603166942452656
v2,LogisticRegression,0.6431703714960431,0.620199146514936,0.750236518448439,0.5184331797235023,0.8035714285714286,0.6302521008403361,0.8575128700128702
v2,RandomForest,0.6144334783369849,0.6277128547579299,0.78240302743614,0.5748502994011976,0.6857142857142857,0.6254071661237784,0.8400096525096525
v3,RandomForest,0.6197014042176164,0.6231647634584013,0.7767265846736046,0.5635838150289018,0.6964285714285714,0.6230031948881789,0.8416620702334988
v2,CatBoost,0.6353061958679956,0.6160714285714286,0.7521286660359509,0.5225,0.7464285714285714,0.6147058823529412,0.8509077955506528
v3,XGBoost,0.6072834070266169,0.6095890410958904,0.7729422894985809,0.5625,0.6428571428571429,0.6,0.8306788931788933
v2,XGBoost,0.5905939251368892,0.5771144278606966,0.759697256385998,0.5393939393939394,0.6357142857142857,0.5836065573770491,0.8218652325795184
